term,HELIO Ontology.json,Heliophysics Events Knowledgebase.json,NASA CCMC.json,Semantic Web for Earth and Environment Technology Ontology.json,SPASE Dictionary.json,NASA Heliophysics Vocabulary.json,Space Weather Glossary.json,Space Weather Glossary (Second).json,ESA Space Weather Glossary.json
Mesosphere,,,,,,,,,
Foreshock,,,,,,,,,
Subauroral,,,,,,,,,
Termination Shock,,,,,,,,,
Ground and Lower Atmosphere,,,,,,,,,
Heliodata Region Taxonomy,,,,,,,,,
Bowshock,,,,,,,,,
Solar Convective Zone,,,,,,,,,
Pause,,,,,,,,,
Equatorward Boundary,,,,,,,,,
Near-Earth Reconnection,,,,,,,,,
Tail Reconnection,,,,,,,,,
D Region,,,,,,,,,
Thermosphere,,,,,,,,,
Photosphere,,,,,,,,,
Poleward Boundary,,,,,,,,,
Solar Interior,,,,,,,,,
Mid-Latitude,,,,,,,,,
Unmagnetized Bodies,,,,,,,,,
Dayside,,,,,,,,,
Exosphere,,,,,,,,,
Equatorial Electrojet,,,,,,,,,
Solar Wind,,,,,,,,,
Atmospheric Physics,,,,,,,,,
Auroral Region,,,,,,,,,
HeliKNOW Region Taxonomy,,,,,,,,,
Nightside,,,,,,,,,
Auroral Oval,,,,,,,,,
Solar Physics,,,,,,,,,
Space Weather,,,,,,,,,
Polar Vortex,,,,,,,,,
Sheath,,,,,,,,,
Magnetotail,,,,,,,,,
Warm Plasma Cloak,,,,,,,,,
Region,,,,,,,,,
Ionospheric Physics,,,,,,,,,
Interplanetary Physics,,,,,,,,,
Near Planet Space?,,,,,,,,,
Solar Atmosphere,,,,,,,,,
Upper Atmosphere,,,,,,,,,
Solar Quiet Current,,,,,,,,,
Inner Magnetosphere,,,,,,,,,
Flare,,,,,,,,,
Region 2,,,,,,,,,
Interplanetary space,,,,,,,,,
Chromosphere,,,,,,,,,
Solar Wind Shock,,,,,,,,,
Fountain,,,,,,,,,
High-Latitude,,,,,,,,,
Stratosphere,,,,,,,,,
Substorm,,,,,,,,,
Magnetospheric Physics,,,,,,,,,
Flux Rope,,,,,,,,,
Atmosphere,,,,,,,,,
Corona,,,,,,,,,
Burst,,,,,,,,,
Region 1,,,,,,,,,
Polar Cap,,,,,,,,,
Plasmasphere,,,,,,,,,
Solar Radiative Zone,,,,,,,,,
Ring Current,,,,,,,,,
Outer Radiation Belt,,,,,,,,,
Inner Radiation Belt,,,,,,,,,
Magnetosheath,,,,,,,,,
Coronal Mass Ejection,,,,,,,,,
Induced Magnetic Fields,,,,,,,,,
Geomagnetic Storm,,,,,,,,,
Magnetosphere,,,,,,,,,
Heliosphere,,,,,,,,,
Dayside Reconnection,,,,,,,,,
Geomagnetic Field,,,,,,,,,
Magnetotail Kink,,,,,,,,,
Space Physics,,,,,,,,,
E Region,,,,,,,,,
F Region,,,,,,,,,
Ionosphere,,,,,,,,,
Current System,,,,,,,,,
Lobes,,,,,,,,,
Magnetopause,,,,,,,,,
