term,definitions
solar flare,"[""An explosive event in the Sun's atmosphere which produces electromagnetic radiation across the electromagnetic spectrum at multiple wavelengths from long-wave radio to the shortest wavelength gamma rays. (spase)    source: HELIO Ontology.json"", ""An explosive event in the Sun's atmosphere which produces electromagnetic radiation across the electromagnetic spectrum at multiple wavelengths from long-wave radio to the shortest wavelength gamma rays. (spase)    source: HELIO Ontology.json"", ""An explosive event in the Sun's atmospherewhich produces electromagnetic radiation across the electromagnetic spectrumat multiple wavelengths from long-wave radio to the shortest wavelengthgamma rays.    source: SPASE Dictionary.json"", 'A solar flare is an intense burst of radiative energy across the entire EM spectrum, with the largest enhancements in the X-ray, EUV and radio portions. Powerful flares are often, but not always, accompanied by a CME. Flares are labelled with a letter and number. The letter is the flare class and indicates the peak intensity in W/m2 of X-rays in the 1-8 Ångstrom wavelength range as measured at Earth by the GOES spacecraft. The weakest one is A class followed by the classes B, C, M and X, each letter represents a 10-fold increase in energy output. Within each letter class there is a finer scale from 1-9 although X-class flares could be higher.    source: ESA Space Weather Glossary.json']"
flux rope emergence,[]
sunspot,"['Places on Solar Surface where Flux Tubes break through the surface    source: HELIO Ontology.json', 'Places on Solar Surface where Flux Tubes break through the surface    source: HELIO Ontology.json', 'Sunspots are temporary phenomena on the photosphere of the Sun that appear visibly as dark spots compared to surrounding regions. Sunspots are caused by intense magnetic field, which inhibits convection, leaving their temperature (~ 3000–4500 K) lower than the temperature of surrounding material ( ~ 6000) K and makes them visible as dark spots. Sunspot sizes vary from 16 km to 160,000 km in diameter. They usually appear as pairs, with each sunspot having the opposite magnetic pole than the other. Sunspots host coronal loops and reconnection events. Most solar flares and CMEs originate in magnetically active regions around sunspot groups.    source: NASA CCMC.json', 'An area seen as a dark spot, in contrast with its surroundings, on the photosphere of the Sun. Sunspots are concentrations of magnetic flux, typically occurring in bipolar clusters or groups. They appear dark because they are cooler than the surrounding photosphere. Larger and darker sunspots sometimes are surrounded (completely or partially) by penumbrae. The dark centers are umbrae. The smallest, immature spots are sometimes called pores.    source: Space Weather Glossary.json']"
magnetic reconnection,"['Magnetic reconnection is a physical process in highly conducting plasmas in which the magnetic topology is rearranged and magnetic energy is converted to kinetic energy, thermal energy, and particle acceleration    source: NASA CCMC.json', 'The source of many of the energetic events on the sun and in the magnetosphere, from solar flares and coronal mass ejections to the aurora. Magnetic reconnection occurs when magnetic field lines cross,ak apart, and then reconnect in a new alignment, rebounding explosively into new positions, providing huge amounts of energy.    source: NASA Heliophysics Vocabulary.json']"
solar cycle,"[""The sun goes through 11-year variations or cycles of high and low activity - solar flares and coronal mass ejections, for example, based on the regular increase and decrease of sunspots. Cycles as short as 9 years and as long as 14 years have also been observed. The cycle is caused by the fact that the sun's magnetic north and south poles flip every 11 years.    source: NASA Heliophysics Vocabulary.json"", 'The periodic variation in frequency or number of solar active events (sunspots, prominences, flares, and other solar activity) occurring with an interval of about 11 years. The solar cycle was discovered in 1843 by Samuel Heinrich Schwabe (1789-1875), a German apothecary and amateur astronomer, who after 17 years of observations noticed a periodic variation in the average number of sunspots seen from year to year on the solar disk. Solar cycle numbering goes back to the 18th century, when the Cycle 1 peak occurred in 1760. Cycle 23 peaked in 2000, and the following Cycle 24 will reach its maximum in 2013.    source: Unified Astronomy Thesaurus (UAT).json']"
prominence,"[""A prominence is a large, bright feature extending outward from the Sun's surface, often in a loop shape. Prominences are anchored to the Sun's surface in the photosphere, and extend outwards into the Sun's corona.    source: HELIO Ontology.json"", ""A solar prominence is a large bright feature extending outwards from the sun's surface, often in a loop configuration. Prominences are anchored to the solar surface in the photosphere, and extend outwards into the solar corona. While the corona consists of extremely hot ionized gases, known as plasma, which do not emit much visible light, prominences contain much cooler plasma, similar in composition to that of the chromosphere. A prominence forms over timescales of about a day, and stable prominences may persist in the corona for several months. Some prominences break apart and give rise to coronal mass ejections    source: Semantic Web for Earth and Environment Technology Ontology.json"", 'A term identifying cloud-like features in the solar atmosphere. The features appear as bright structures above the solar limb and as dark filaments when seen projected against the solar disk.\xa0 They are most clearly and most often observed in H-alpha.    source: Space Weather Glossary.json']"
irradiance,"['In situ measurements of the relative flux or density of\nelectrically charged particles in the space environment.\nMay give simple fluxes, but full distribution functions are\nsometimes measured.    source: HELIO Ontology.json', 'Irradiance - A radiometric term for the powerof electromagnetic radiation at a surface, per unit area. ""Irradiance"" isused when the electromagnetic radiation is incident on the surface.Irradiance data may be reported in any units (i.e. counts/s) due to, forexample, being at a particular wavelength, or to being anot-fully-calibrated relative measurement.    source: SPASE Dictionary.json']"
interplanetary dynamics,[]
solar wind,"['plasma flowing out from the sun    source: NASA CCMC.json', ""The solar wind is a stream of charged particles (i.e., a plasma) which are ejected from the upper atmosphere of the sun. It consists mostly of high-energy electrons and protons (about 1 keV) that are able to escape the sun's gravity in part because of the high temperature of the corona and the high kinetic energy particles gain through a process that is not well understood at this time.    source: Semantic Web for Earth and Environment Technology Ontology.json"", ""The constant stream of solar coronal material that flows off the sun. The solar wind is much less dense than the wind on Earth -- indeed it can be 1000 times less dense than a man-made vacuum on Earth -- but it is much faster, typically moving at speeds of one to two million miles per hour. Indeed, it is constantly on the move: there is no place within the solar system where the solar wind's velocity is zero.    source: NASA Heliophysics Vocabulary.json"", 'The outward flow of solar particles and magnetic fields from the Sun. Typically at 1 AU, solar wind velocities are near 375 km/s and proton and electron densities are near 5 cm-3. The total intensity of the interplanetary magnetic field is nominally 5 nT.    source: Space Weather Glossary.json', 'A mass outflow, consisting of protons, electrons, and other subatomic particles, expelled constantly from the solar corona at about 500 km per second. The solar mass-loss rate in this phenomenon amounts to about 2 x 10^-14 solar masses per year, or about 106 tons per second.    source: Unified Astronomy Thesaurus (UAT).json']"
interplanetary magnetic field,"['As the solar wind flows outward from the sun at several million miles per hour, it drags the sun\'s magnetic field with it. This magnetic field permeates the solar system and is known as the interplanetary magnetic field. While the IMF typically deflects around Earth\'s magnetic field, the IMF can sometimes ""reconnect"" with Earth\'s field, allowing solar wind energy to funnel directly into our protective magnetospheric bubble.    source: NASA Heliophysics Vocabulary.json', 'The magnetic field carried with the solar wind.    source: Space Weather Glossary.json']"
