term,definition,type,occurrences
solar wind,,HELIO Ontology.json,8
chromosphere,"The region of the Sun's (or a star's) atmosphere above the
temperature minimum and below the Transition Region.
The solar chromosphere is approximately 400 km to
2100 km above the photosphere, and characterized by
temperatures from 4500 - 28000 K.",HELIO Ontology.json,8
photosphere,"The atmospheric layer of the Sun or a star from which
continuum radiation, especially optical, is emitted to
space. For the Sun, the photosphere is about 500 km
thick.",HELIO Ontology.json,8
solar wind,,HELIO Ontology.json,8
chromosphere,The region of the Sun’s atmosphere that exists just above the photosphere. The chromosphere is visible with a special narrow band telescope the views the emissions of Hydrogen-alpha.,NASA CCMC.json,8
heliosphere,"The region of space dominated by the Sun’s extended, outflowing atmosphere. Based on views of other stellar spheres, the heliosphere probably has a tear-drop shape due to its interaction with the interstellar wind.",NASA CCMC.json,8
photosphere,thin layer of the solar atmosphere that is the source of most Solar photons,NASA CCMC.json,8
solar wind,plasma flowing out from the sun,NASA CCMC.json,8
solar wind,"The solar wind is a stream of charged particles (i.e., a plasma) which are ejected from the upper atmosphere of the sun. It consists mostly of high-energy electrons and protons (about 1 keV) that are able to escape the sun's gravity in part because of the high temperature of the corona and the high kinetic energy particles gain through a process that is not well understood at this time.",Semantic Web for Earth and Environment Technology Ontology.json,8
heliosphere,,Semantic Web for Earth and Environment Technology Ontology.json,8
chromosphere,,Semantic Web for Earth and Environment Technology Ontology.json,8
photosphere,,Semantic Web for Earth and Environment Technology Ontology.json,8
remote sensing,,Semantic Web for Earth and Environment Technology Ontology.json,8
chromosphere,"The region of the Sun's (or a star's)atmosphere above the temperature minimum and below the Transition Region.The solar chromosphere is approximately 400 km to 2100 km above thephotosphere, and characterized by temperatures from 4500 - 28000 K.",SPASE Dictionary.json,8
heliosphere,The solar atmosphere extending roughly fromthe outer corona to the edge of the solar plasma at the heliopauseseparating primarily solar plasma from interstellar plasma.,SPASE Dictionary.json,8
photosphere,"The atmospheric layer of the Sun or a starfrom which continuum radiation, especially optical, is emitted to space. Forthe Sun, the photosphere is about 500 km thick.",SPASE Dictionary.json,8
chromosphere,"The relatively thin layer of the solar atmosphere located above the sun's surface. The temperature in the chromosphere rises from 6000 K to about 20,000 K, making it hotter than the photosphere but not as hot as the higher atmosphere, the corona.",NASA Heliophysics Vocabulary.json,8
heliosphere,"The heliosphere is our entire solar system, as defined by the bubble created by the outflow of particles from the sun called the solar wind, which streams far past the outermost planets, six to nine billion miles away from the sun. Solar particles speed outward from the sun, pushing back the material in the rest of space, known as the interstellar medium. The boundary between the two defines the edges of the heliosphere.",NASA Heliophysics Vocabulary.json,8
photosphere,The surface layer of the sun that we can see in the visible light range.,NASA Heliophysics Vocabulary.json,8
solar wind,"The constant stream of solar coronal material that flows off the sun. The solar wind is much less dense than the wind on Earth -- indeed it can be 1000 times less dense than a man-made vacuum on Earth -- but it is much faster, typically moving at speeds of one to two million miles per hour. Indeed, it is constantly on the move: there is no place within the solar system where the solar wind's velocity is zero.",NASA Heliophysics Vocabulary.json,8
chromosphere,"The layer of the solar atmosphere above the photosphere and beneath the transition region and the corona. The chromosphere is the source of the strongest lines in the solar spectrum, including the Balmer alpha line of hydrogen and the H and K lines of calcium, and is the source of the red color often seen around the rim of the moon at total solar eclipses.",Space Weather Glossary.json,8
heliosphere,"The magnetic cavity surrounding the Sun, carved out of the galaxy by the solar wind.",Space Weather Glossary.json,8
photosphere,The lowest visible layer of the solar atmosphere; corresponds to the solar surface viewed in white light. Sunspots and faculae are observed in the photosphere.,Space Weather Glossary.json,8
solar wind,"The outward flow of solar particles and magnetic fields from the Sun. Typically at 1 AU, solar wind velocities are near 375 km/s and proton and electron densities are near 5 cm-3. The total intensity of the interplanetary magnetic field is nominally 5 nT.",Space Weather Glossary.json,8
chromosphere,,Space Weather Glossary (Second).json,8
heliosphere,,Space Weather Glossary (Second).json,8
photosphere,,Space Weather Glossary (Second).json,8
solar wind,,Space Weather Glossary (Second).json,8
soft gamma-ray repeaters,,Unified Astronomy Thesaurus (UAT).json,8
heliosphere,"The vast, three-dimensional region of space around the Sun filled with the solar wind and the remnant of the solar magnetic field carried in it. It is bounded by the heliopause, which is estimated to be 100 astronomical units or more from the Sun. The radius of the heliosphere is expected to vary with the solar cycle. The heliosphere may be very elongated owing to the presence of an interstellar wind of neutral hydrogen flowing from the direction of the Galactic center.",Unified Astronomy Thesaurus (UAT).json,8
remote sensing,"Technique that utilizes electromagnetic waves to detect, measure, and obtain information about an object that is not in contact with the sensing apparatus.",Unified Astronomy Thesaurus (UAT).json,8
solar wind,"A mass outflow, consisting of protons, electrons, and other subatomic particles, expelled constantly from the solar corona at about 500 km per second. The solar mass-loss rate in this phenomenon amounts to about 2 x 10^-14 solar masses per year, or about 106 tons per second.",Unified Astronomy Thesaurus (UAT).json,8
heliosphere,"The vast, three-dimensional region of space around the Sun filled with the solar wind and the remnant of the solar magnetic field carried in it. It is bounded by the heliopause, which is estimated to be 100 astronomical units or more from the Sun. The radius of the heliosphere is expected to vary with the solar cycle. The heliosphere may be very elongated owing to the presence of an interstellar wind of neutral hydrogen flowing from the direction of the Galactic center.",Unified Astronomy Thesaurus (UAT).json,8
remote sensing,,AGU Index Terms.json,8
chromosphere,,AGU Index Terms.json,8
photosphere,,AGU Index Terms.json,8
remote sensing,,AGU Index Terms.json,8
aurora,An atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force. (spase),HELIO Ontology.json,7
coronal mass ejection,A solar event (CME) that involves a burst of plasma ejected into the interplanetary medium.  CME's may be observed remotely relatively near the sun or in situ in the interplanetary medium.  The latter type of observations are often referred to as Interplanetary CME's (ICME's). (spase),HELIO Ontology.json,7
corona,"The outermost atmospheric region of the Sun or a star,
characterized by ionization temperatures above 10^5 K.
The solar corona starts at about 2100 km above the
photosphere; there is no generally defined upper limit.",HELIO Ontology.json,7
magnetotail,,HELIO Ontology.json,7
troposphere,,HELIO Ontology.json,7
coronal mass ejection,A solar event (CME) that involves a burst of plasma ejected into the interplanetary medium.  CME's may be observed remotely relatively near the sun or in situ in the interplanetary medium.  The latter type of observations are often referred to as Interplanetary CME's (ICME's). (spase),HELIO Ontology.json,7
aurora,"transient displays of light, often displaying as moving curtains and rays, at high latitudes associated with geomagnetic disturbances",NASA CCMC.json,7
aurora,The sporadic radiant emission from the upper atmosphere over the middle and high latitudes.,Semantic Web for Earth and Environment Technology Ontology.json,7
magnetotail,,Semantic Web for Earth and Environment Technology Ontology.json,7
coronal mass ejection,"A coronal mass ejection (CME) is an ejection of material from the solar corona, usually observed with a white-light coronagraph. The ejected material is a plasma consisting primarily of electrons and protons (in addition to small quantities of heavier elements such as helium, oxygen, and iron), plus the entrained coronal magnetic field.",Semantic Web for Earth and Environment Technology Ontology.json,7
corona,Constituent occurs as a concentric envelope enclosing another constituent. Corona is a non-genetic term.,Semantic Web for Earth and Environment Technology Ontology.json,7
troposphere,,Semantic Web for Earth and Environment Technology Ontology.json,7
aurora,An atmospheric phenomenon consisting of bandsof light caused by charged solar particles following the earth's magneticlines of force.,SPASE Dictionary.json,7
corona,"The outermost atmospheric region of the Sunor a star, characterized by ionization temperatures above 10^5 K. The solarcorona starts at about 2100 km above the photosphere; there is no generallydefined upper limit.",SPASE Dictionary.json,7
coronal mass ejection,A solar event (CME) that involves a burst ofplasma ejected into the interplanetary medium. CME's may be observedremotely relatively near the sun or in situ in the interplanetary medium.The latter type of observations are often referred to as InterplanetaryCME's (ICME's).,SPASE Dictionary.json,7
magnetotail,"The region on the night side of the bodywhere the magnetic filed is stretched backwards by the force of the solarwind. For Earth, the magnetotail begins at a night-side radial distance of10 Re (X > -10Re).",SPASE Dictionary.json,7
troposphere,"The lowest layer of the atmosphere whichbegins at the surface and extends to between 7 km (4.4 mi) at the poles and17 km (10.6 mi) at the equator, with some variation due to weather factors.",SPASE Dictionary.json,7
aurora,"An aurora is a natural display of light in the night sky that typically occurs in far northern and southern regions. Auroras occur when incoming charged particles from the sun strike oxygen and nitrogen some 60 to 200 miles up in Earth's atmosphere and release a flash of light and heat. Electrons and protons released by solar storms add to the number of solar particles, and can createght auroras at lower latitudes.",NASA Heliophysics Vocabulary.json,7
corona,"The sun's dynamic atmosphere is called the corona. It is filled with electrically charged particles, whose movements are governed by the tangle of magnetic fields surrounding the sun. While the sun's surface is 6000K, the corona can reach up to millions of degrees, sparking questions from researchers on mechanisms heat the atmosphere so dramatically. Solar flares and coronal mass ejections originate in the corona.",NASA Heliophysics Vocabulary.json,7
coronal mass ejection,"Not to be confused with the intense burst of light that is a solar flare, a CME is a cloud of magnetized solar material that erupts from the sun's atmosphere, the corona, into interplanetary space. CMEs do often occur at the same time as a flare, and scientists currently study how the two phenomena connect. At their largest, CMEs can contain 10 billion tons of matter, and they can move at speeds of a million miles an hour. Just after blowing into space, a CME cloud can grow as wide as 30 million miles across, 35 times the diameter of the sun. When a coronal mass ejection points toward Earth, it can take anywhere from one to three days to reach our atmosphere, where it can create a type of space weather known as a geomagnetic storm.",NASA Heliophysics Vocabulary.json,7
magnetotail,"Earth's magnetotail drags out behind it, shaped by the flow of the solar wind on the night side of Earth. It extends over a hundred thousand miles and can collect much incoming energy from the sun, before releasing it toward Earth or further down the tail.",NASA Heliophysics Vocabulary.json,7
aurora,"A faint visual phenomenon associated with geomagnetic activity that is visible mainly in the high-latitude night sky. Aurorae occur within a band of latitudes known as the auroral oval, the location of which is dependent on geomagnetic activity. Aurorae are a result of collisions between atmospheric gases and precipitating charged particles (mostly electrons) guided by the geomagnetic field from the magnetotail. Each gas (oxygen, nitrogen molecules, and atoms) emits a particular color depending on the energy of the precipitating particles, and atmospheric composition varies with altitude. Since the faster precipitating particles penetrate deeper, certain auroral colors, originate preferentially from certain heights in the sky. The auroral altitude range is 80 to 1000 km, but typical aurorae are 100 to 250 km above the ground; the color of the typical aurora is yellow-green, from a specific transition of atomic oxygen. Auroral light from lower levels in the atmosphere is dominated by blue and red bands from molecular nitrogen and oxygen. Above 250 km, auroral light is characterized by a red spectral line of atomic oxygen.  Aurorae in the Northern Hemisphere are called the aurora borealis or ”northern lights.” Aurorae in the Southern Hemisphere are called aurora australis. The patterns and forms of the aurora include quiescent arcs, rapidly moving rays, curtains, patches, and veils.",Space Weather Glossary.json,7
corona,"The outermost layer of the solar atmosphere, characterized by low densities ( < 109 cm-3) and high temperatures (> 106 K).",Space Weather Glossary.json,7
coronal mass ejection,"An outflow of plasma from or through the solar corona. CMEs are often, but not always, associated with erupting prominences, disappearing solar filaments, and/or flares.  CMEs vary widely in structure, density, and velocity.  Large and fast CMEs can approach densities of 1016 g and velocities of 2000 km/s.  Earth impacting CMEs can result in significant geomagnetic storms.",Space Weather Glossary.json,7
magnetotail,"The extension of the magnetosphere in the antisunward direction as a result of interaction with the solar wind. In the inner magnetotail, the field lines maintain a roughly dipolar configuration.  At greater distances, the field lines are stretched into northern and southern lobes, separated by a plasmasheet. There is observational evidence for traces of the Earth’s magnetotail as far as 1000 Earth radii downstream.",Space Weather Glossary.json,7
troposphere,"The lowest layer of the Earth’s atmosphere, extending from the ground to the stratosphere at approximately 13 km of altitude.",Space Weather Glossary.json,7
troposphere,"The lowest layer of the Earth’s atmosphere, extending from the ground to the stratosphere at approximately 13 km of altitude.",Space Weather Glossary.json,7
aurora,,Space Weather Glossary (Second).json,7
corona,,Space Weather Glossary (Second).json,7
magnetotail,,Space Weather Glossary (Second).json,7
troposphere,,Space Weather Glossary (Second).json,7
coronal mass ejection,"An outflow of plasma from or through the solar corona. CMEs are often, but not always, associated with erupting prominences, disappearing solar filaments, and/or flares. CMEs vary widely in structure, density, and velocity. Large and fast CMEs can approach masses of 1.6 × 10^12 kg and approach velocities over 2000 km/s. Earth impacting CMEs can result in significant geomagnetic storms. Types of coronal mass ejections launched toward Earth are called ""halo CMEs"" because as they approach Earth, they appear larger than the Sun, making a halo of bright coronal emission completely around it.",ESA Space Weather Glossary.json,7
troposphere,"The lower part of the Earth's atmosphere in which temperature decreases with height, except for local areas of temperature inversion.",Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
manganese stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
me variable stars,,Unified Astronomy Thesaurus (UAT).json,7
zirconium stars,,Unified Astronomy Thesaurus (UAT).json,7
hydrothermal systems ,,AGU Index Terms.json,7
hydrothermal systems ,,AGU Index Terms.json,7
magnetotail,,AGU Index Terms.json,7
hydrothermal systems ,,AGU Index Terms.json,7
hydrothermal systems ,,AGU Index Terms.json,7
hydrothermal systems ,,AGU Index Terms.json,7
corona,,AGU Index Terms.json,7
hydrothermal systems ,,AGU Index Terms.json,7
hydrothermal systems ,,AGU Index Terms.json,7
active region,"A localized, transient volume of the solar atmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed. (spase)",HELIO Ontology.json,6
geomagnetic storm,A magnetospheric disturbance typically defined by variations in the horizontal component of the Earth's surface magnetic field.  The variation typically starts with a field enhancement associated with a solar wind pressure pulse and continues with a field depression associated with an enhancement of the diamagnetic magnetospheric ring current. (spase),HELIO Ontology.json,6
thermosphere,"An upper part of Earth's Atmosphere that includes the Ionosphere and extends from an altitude of 85 km (above the mesopause), where the temperature is about -33 °C, to the lower level of the Exosphere at 500 km, where the temperature is about 1,500 °C",HELIO Ontology.json,6
sunspot,Places on Solar Surface where Flux Tubes break through the surface,HELIO Ontology.json,6
substorm,A process by which plasma in the magnetotail becomes energized at a fast rate. (spase),HELIO Ontology.json,6
exosphere,,HELIO Ontology.json,6
magnetosheath,,HELIO Ontology.json,6
mesosphere,,HELIO Ontology.json,6
plasmasphere,,HELIO Ontology.json,6
stratosphere,,HELIO Ontology.json,6
transition region,"A very narrow (<100 km) layer between the
chromosphere and the corona where the temperature rises
abruptly from about 8000 to about 500,000 K.",HELIO Ontology.json,6
active region,"A localized, transient volume of the solar atmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed. (spase)",HELIO Ontology.json,6
sunspot,Places on Solar Surface where Flux Tubes break through the surface,HELIO Ontology.json,6
ionosphere,"An atmospheric layer in which a small fraction of electrons have been separated from their parent ions by energetic processes. Solar photons, solar protons and auroral particles, with sufficient energy, strip the electrons to produce a weak plasma.",NASA CCMC.json,6
magnetosphere,The region of space dominated by the magnetic field of a star or planet. Earth’s magnetosphere takes on a tear-drop shape under the influence of the flowing solar wind.,NASA CCMC.json,6
