level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11
Observational astronomy,Astronomical instrumentation,Observatories,Solar observatories,,,,,,,
Observational astronomy,Astronomical instrumentation,Solar instruments,,,,,,,,
Observational astronomy,Astronomical instrumentation,Stellar tracking devices,Heliostats,,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Optical telescopes,Solar optical telescopes,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Radio telescopes,Solar radio telescopes,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Radio telescopes,,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Solar telescopes,Radioheliographs,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Solar telescopes,Solar optical telescopes,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Solar telescopes,Solar radio telescopes,,,,,,
Observational astronomy,Astronomical instrumentation,Telescopes,Solar telescopes,,,,,,,
Observational astronomy,Astronomical techniques,Optical observation,Center to limb observations,,,,,,,
Solar physics,CNO anomaly,,,,,,,,,
Solar physics,Helioseismology,Helioseismic pulsations,,,,,,,,
Solar physics,Helioseismology,Solar cycle,Active sun,,,,,,,
Solar physics,Helioseismology,Solar cycle,Quiet sun,,,,,,,
Solar physics,Helioseismology,Solar cycle,Solar dynamo,,,,,,,
Solar physics,Helioseismology,Solar cycle,Sunspot cycle,,,,,,,
Solar physics,Helioseismology,Solar cycle,,,,,,,,
Solar physics,Helioseismology,Solar magnetic fields,Solar dynamo,,,,,,,
Solar physics,Helioseismology,Solar magnetic fields,Solar magnetic bright points,,,,,,,
Solar physics,Helioseismology,Solar magnetic fields,Solar magnetic flux emergence,,,,,,,
Solar physics,Helioseismology,Solar magnetic fields,Solar magnetic reconnection,,,,,,,
Solar physics,Helioseismology,Solar magnetic fields,,,,,,,,
Solar physics,Helioseismology,,,,,,,,,
Solar physics,Solar abundances,,,,,,,,,
Solar physics,Solar activity,Solar active regions,Ephemeral active regions,,,,,,,
Solar physics,Solar activity,Solar active regions,Solar active region filaments,,,,,,,
Solar physics,Solar activity,Solar active regions,Solar active region magnetic fields,,,,,,,
Solar physics,Solar activity,Solar active regions,Solar active region velocity fields,,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Delta sunspots,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Ephemeral active regions,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Maunder minimum,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Sunspot flow,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Sunspot groups,Bipolar sunspot groups,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Sunspot groups,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Sunspot number,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,Wilson effect,,,,,,
Solar physics,Solar activity,Solar active regions,Sunspots,,,,,,,
Solar physics,Solar activity,Solar active regions,,,,,,,,
Solar physics,Solar activity,Solar filaments,Quiescent solar prominence,,,,,,,
Solar physics,Solar activity,Solar filaments,Solar active region filaments,,,,,,,
Solar physics,Solar activity,Solar filaments,Solar filament eruptions,,,,,,,
Solar physics,Solar activity,Solar filaments,,,,,,,,
Solar physics,Solar activity,Solar flares,Solar flare spectra,,,,,,,
