term,definition,source
sunspots,,uat
helioseismology,,uat
solar flares,,uat
solar magnetic fields,,uat
solar wind,,uat
oort cloud,,uat
solar magnetic reconnection,,uat
ephemeral active regions,,uat
solar flares,,uat
solar dynamo,,uat
solar magnetic flux emergence,,uat
solar flare spectra,,uat
sunspot flow,,uat
sunspot number,,uat
delta sunspots,,uat
maunder minimum,,uat
heliopause,,uat
wilson effect,,uat
interplanetary physics,,uat
solar energetic particles,,uat
planetary rings,,uat
interplanetary magnetic fields,,uat
solar white-light flares,,uat
solar magnetic fields,,uat
heliosphere,,uat
solar radio flares,,uat
solar cycle,,uat
the moon,,uat
solar magnetic bright points,,uat
sunspot groups,,uat
solar x-ray flares,,uat
solar magnetic reconnection,,uat
ephemeral active regions,,uat
aurorae,,uat
interplanetary shocks,,uat
solar flares,,uat
neptunian satellites,,uat
solar dynamo,,uat
asteroid satellites,,uat
solar magnetic flux emergence,,uat
martian satellites,,uat
solar flare spectra,,uat
lightning,,uat
pluto,,uat
atmospheric tides,,uat
trans-neptunian objects,,uat
meteors,,uat
heliopause,,uat
heliosheath,,uat
saturnian satellites,,uat
solar energetic particles,,uat
sunspots,,uat
uranian satellites,,uat
solar white-light flares,,uat
oort cloud objects,,uat
bipolar sunspot groups,,uat
planetary bow shocks,,uat
water vapor,,uat
jovian satellites,,uat
interplanetary dust,,uat
corotating streams,,uat
solar radio flares,,uat
pickup ions,,uat
the moon,,uat
solar magnetic bright points,,uat
solar x-ray flares,,uat
ephemeral active regions,,uat
mars,,uat
mesosphere,,uat
asteroid satellites,,uat
troposphere,,uat
solar flare spectra,,uat
jupiter,,uat
neptune trojans,,uat
atmospheric tides,,uat
thermosphere,,uat
sunspot flow,,uat
titan,,uat
sunspot number,,uat
delta sunspots,,uat
maunder minimum,,uat
wilson effect,,uat
exosphere,,uat
earth trojans,,uat
saturn,,uat
uranus,,uat
solar white-light flares,,uat
triton,,uat
greenhouse gases,,uat
neptune,,uat
solar radio flares,,uat
venus,,uat
stratosphere,,uat
sunspot groups,,uat
solar x-ray flares,,uat
oort cloud,,uat
neptune trojans,,uat
europa,,uat
water vapor,,uat
earth trojans,,uat
io,,uat
ganymede,,uat
bipolar sunspot groups,,uat
oort cloud objects,,uat
general or miscellaneous,,agu
exosphere,,agu
instruments and techniques,,agu
general or miscellaneous,,agu
biogeosciences,,agu
instruments and techniques,,agu
"modeling (1952, 4316)",,agu
remote sensing,,agu
general or miscellaneous,,agu
new fields (not classifiable under other headings),,agu
instruments and techniques,,agu
general or miscellaneous,,agu
