term,definition,source
observational astronomy,,uat
solar physics,,uat
solar system astronomy,,uat
solar interior,,uat
solar rotation,,uat
solar evolution,,uat
solar atmosphere,,uat
solar surface,,uat
planetary science,,uat
solar granulation,,uat
solar faculae,,uat
solar radiation,,uat
solar radius,,uat
solar system,,uat
earth-moon system,,uat
solar oscillations,,uat
solar particle emission,,uat
lunar science,,uat
astronomical instrumentation,,uat
astronomical techniques,,uat
solar spectral irradiance,,uat
solar mass,,uat
cno anomaly,,uat
solar abundances,,uat
solar electromagnetic emission,,uat
solar activity,,uat
solar motion,,uat
solar nebulae,,uat
planetary theory,,uat
helioseismic pulsations,,uat
slow solar wind,,uat
mesogranulation,,uat
planetary system formation,,uat
telescopes,,uat
impact phenomena,,uat
solar corona,,uat
solar storm,,uat
lunar theory,,uat
natural satellite surfaces,,uat
solar neutrons,,uat
solar neighborhood,,uat
planetary migration,,uat
solar atmospheric motions,,uat
supergranulation,,uat
natural satellite atmospheres,,uat
solar core,,uat
optical observation,,uat
solar prominences,,uat
solar active regions,,uat
solar coronal mass ejection shocks,,uat
solar instruments,,uat
natural satellite dynamics,,uat
planetary dynamics,,uat
planetary magnetospheres,,uat
atmospheric science,,uat
lunar origin,,uat
limb darkening,,uat
solar-planetary interactions,,uat
comet dynamics,,uat
stellar tracking devices,,uat
comet origins,,uat
planetary climates,,uat
apex,,uat
surface gravity,,uat
lunar phase,,uat
solar extreme ultraviolet emission,,uat
natural satellite formation,,uat
solar radiative zone,,uat
solar convective zone,,uat
solar chromosphere,,uat
the sun,,uat
solar meridional circulation,,uat
meteoroids,,uat
planetary atmospheres,,uat
dwarf planets,,uat
kuiper belt,,uat
lunar evolution,,uat
fast solar wind,,uat
natural satellites (solar system),,uat
planetary alignment,,uat
solar photosphere,,uat
space weather,,uat
planetary-disk interactions,,uat
antapex,,uat
solar filaments,,uat
limb brightening,,uat
solar radio emission,,uat
solar ultraviolet emission,,uat
asteroid belt,,uat
small solar system bodies,,uat
observatories,,uat
solar system planets,,uat
solar gamma-ray emission,,uat
solar differential rotation,,uat
interplanetary medium,,uat
asteroid dynamics,,uat
solar x-ray emission,,uat
lunar atmosphere,,uat
planetary structure,,uat
selenology,,uat
tectonics,,uat
interplanetary particle acceleration,,uat
irregular satellites,,uat
shepherd satellites,,uat
polar caps,,uat
solar-terrestrial interactions,,uat
solar coronal waves,,uat
hydrosphere,,uat
interstellar objects,,uat
quiescent solar prominence,,uat
lunar node regression,,uat
lunar features,,uat
lunar interior,,uat
solar coronal transients,,uat
volcanism,,uat
solar granules,,uat
optical telescopes,,uat
interplanetary gas,,uat
stellar bow shocks,,uat
atmospheric effects,,uat
solar system formation,,uat
oblateness,,uat
solar system gas giant planets,,uat
earth atmosphere,,uat
planetary interior,,uat
comets,,uat
planetary ionospheres,,uat
quiet solar corona,,uat
solar spicules,,uat
lithosphere,,uat
atmospheric variability,,uat
ellerman bombs,,uat
solar coronal holes,,uat
planetary polar regions,,uat
solar k corona,,uat
solar active region filaments,,uat
active sun,,uat
solar system terrestrial planets,,uat
aeronomy,,uat
scale height,,uat
atmospheric clouds,,uat
interplanetary grains,,uat
solar coronal mass ejections,,uat
ansae,,uat
solar transition region,,uat
anomalistic month,,uat
volcanoes,,uat
quiet sun,,uat
quiet solar chromosphere,,uat
lunar surface,,uat
magnetospheric radio emissions,,uat
termination shock,,uat
planetary ring divisions,,uat
active solar corona,,uat
radio telescopes,,uat
plutonian satellites,,uat
sunspot cycle,,uat
solar telescopes,,uat
solar observatories,,uat
solar coronal streamers,,uat
solar active region magnetic fields,,uat
van allen radiation belts,,uat
lunar geodesy,,uat
spokes,,uat
plasmapause,,uat
solar active region velocity fields,,uat
solar chromospheric heating,,uat
solar coronal radio emission,,uat
plages,,uat
asteroid rotation,,uat
planetary boundary layers,,uat
solar coronal heating,,uat
solar coronal lines,,uat
planet formation,,uat
solar coronal seismology,,uat
solar f corona,,uat
annual equation,,uat
protoplanetary disks,,uat
planetary surfaces,,uat
