"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"aurora","8","6","HELIO Ontology | NASA CCMC | NASA Heliophysics Vocabulary | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary | Space Weather Glossary (Second)","An atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force. (spase) ;; transient displays of light, often displaying as moving curtains and rays, at high latitudes associated with geomagnetic disturbances ;; The sporadic radiant emission from the upper atmosphere over the middle and high latitudes. ;; An atmospheric phenomenon consisting of bandsof light caused by charged solar particles following the earth's magneticlines of force. ;; An aurora is a natural display of light in the night sky that typically occurs in far northern and southern regions. Auroras occur when incoming charged particles from the sun strike oxygen and nitrogen some 60 to 200 miles up in Earth's atmosphere and release a flash of light and heat. Electrons and protons released by solar storms add to the number of solar particles, and can createght auroras at lower latitudes. ;; A faint visual phenomenon associated with geomagnetic activity that is visible mainly in the high-latitude night sky. Aurorae occur within a band of latitudes known as the auroral oval, the location of which is dependent on geomagnetic activity. Aurorae are a result of collisions between atmospheric gases and precipitating charged particles (mostly electrons) guided by the geomagnetic field from the magnetotail. Each gas (oxygen, nitrogen molecules, and atoms) emits a particular color depending on the energy of the precipitating particles, and atmospheric composition varies with altitude. Since the faster precipitating particles penetrate deeper, certain auroral colors, originate preferentially from certain heights in the sky. The auroral altitude range is 80 to 1000 km, but typical aurorae are 100 to 250 km above the ground; the color of the typical aurora is yellow-green, from a specific transition of atomic oxygen. Auroral light from lower levels in the atmosphere is dominated by blue and red bands from molecular nitrogen and oxygen. Above 250 km, auroral light is characterized by a red spectral line of atomic oxygen. Aurorae in the Northern Hemisphere are called the aurora borealis or ”northern lights.” Aurorae in the Southern Hemisphere are called aurora australis. The patterns and forms of the aurora include quiescent arcs, rapidly moving rays, curtains, patches, and veils.","['Aurora', 'aurora', 'Phenomena -> heliospheric phenomena -> atmospheric light emission -> aurora']"
"solar radiation","6","5","GCMD | GEMET | Global Change Master Directory (GCMD) | SWEET | Semantic Web for Earth and Environment Technology Ontology | Unified Astronomy Thesaurus (UAT)","The total electromagnetic radiation emitted by the sun. ;; All the constituents making up the Sun's emission: photons, electrons, protons, neutrinos, and atomic nuclei. ;; Solar radiation is the total electromagnetic radiation emitted by the Sun. Also could include insolation, direct solar radiation, diffuse radiation, solar irradiance, and shortwave radiation. ;; The electromagnetic radiation and particles emitted by the sun. ;; Solar radiation is the total electromagnetic radiation emitted by the Sun.Also could include insolation, direct solar radiation, diffuse radiation,solar irradiance, and shortwave radiation.","['solar radiation', 'Solar radiation', 'SOLAR RADIATION', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC RADIATION -> SOLAR RADIATION', 'ElectromagneticRadiationQuantity -> solar radiation']"
"heat flux","6","6","GCMD | Global Change Master Directory (GCMD) | HELIO Ontology | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology","Flow of thermal energy through a gas orplasma; typically computed as third moment of a distribution function. ;; The measurement of the heat flux or heat loss from open ocean areas within the sea ice pack is important for the study of energy balance in the polar regions and local and regional climatology. Heat loss through the open water is 100 times more than through thick ice. ;; The rate of flow of heat. ;; Heat flux is the amount of heat that is transferred across a surface of unit area in a unit of time. Also refers to latent and sensible heat fluxes in the atmosphere and between the Earth's surface and atmosphere. ;; Flux per unit area for heat. ;; The measurement of the heat flux or heat loss from open ocean areas withinthe sea ice pack is important for the study of energy balance in the polarregions and local and regional climatology. Heat loss through the openwater is 100 times more than through thick ice.","['HeatFlux', 'heat flux', 'HEAT FLUX', 'EARTH SCIENCE -> OCEANS -> OCEAN HEAT BUDGET -> HEAT FLUX', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC RADIATION -> HEAT FLUX', 'EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> CLOUD DYNAMICS -> HEAT FLUX', 'EARTH SCIENCE -> OCEANS -> SEA ICE -> HEAT FLUX', 'EARTH SCIENCE -> LAND SURFACE -> SURFACE THERMAL PROPERTIES -> HEAT FLUX']"
"microwave","5","3","GCMD | GEMET | Global Change Master Directory (GCMD) | SPASE Dictionary | Semantic Web for Earth and Environment Technology Ontology","Photons with a wavelength range: 1.00x10^6 to1.50x10^7 nm ;; A very short electromagnetic wave. The portion of the electromagnetic spectrum lying between the far infrared and the conventional radio frequency portion. While not bounded by definition, it is commonly regarded as extending from 1 mm to 1 m in wavelength (300 GHz to 0.3 GHz frequency). <P> Passive systems operating at these wavelengths sometimes are called microwave systems. Active systems are called radar, although the literal definition of radar requires a distance measuring capability not always included in active systems. ;; An electromagnetic wave which has a wavelength between about 0.3 and 30 centimeters, corresponding to frequencies of 1-100 gigahertz; however there are no sharp boundaries between microwaves and infrared and radio waves.","['microwave', 'Microwave', 'MICROWAVE', 'EARTH SCIENCE -> SPECTRAL/ENGINEERING -> MICROWAVE']"
"emission","5","2","GCMD | GEMET | Global Change Master Directory (GCMD) | SWEET | Semantic Web for Earth and Environment Technology Ontology","The release of greenhouse gases or air pollutants and/or their precursors into the atmosphere over a specified area and period of time ;; When a cloud absorbs longwave radiation emitted by the Earth's surface, the cloud reemits a portion of the energy to outer space (emission) and a portion back toward the surface.","['emission', 'EMISSION', 'EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> CLOUD RADIATIVE TRANSFER -> EMISSION', 'Process -> physical process -> wave process -> emission']"
"interplanetary shock","5","3","ESA Space Weather Glossary | HELIO Ontology | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology","A shock propagating generally anti-sunward through the slower solar wind, often seen in front of CME-associated plasma clouds. (spase) ;; A shock propagating generally anti-sunwardthrough the slower solar wind, often seen in front of CME-associated plasmaclouds. ;; Interplanetary shocks are a type of collision-less shock - ones where particles transfer energy through electromagnetic fields instead of directly bouncing into one another.","['InterplanetaryShock', 'interplanetary shock', 'Interplanetary Shock', 'Phenomena -> interplanetary phenomena -> interplanetary shock']"
"solar flares","5","6","GCMD | Global Change Master Directory (GCMD) | NASA Heliophysics Vocabulary | Space Weather Glossary (Second) | Unified Astronomy Thesaurus (UAT)","A great burst of light and radiation due to the release of magnetic energy on the sun. Flares are by far the biggest explosions in the solar system, with energy releases comparable to billions of hydrogen bombs. The radiation from the flare travels at the speed of light, and so reaches Earth within eight minutes. The energy is generally absorbed by Earth's atmosphere, which protects humans on Earth, however, the energy can cause radio blackouts on Earth for minutes or, in the worst cases, hours at a time. The radiation from a flare would also be harmful to astronauts outside of Earth's atmosphere. Some, but by no means all, flares have an associated coronal mass ejection (CME). ;; A bright eruption form the Sun's chromosphere in the vicinity of a sunspot. Solar flares are caused by tremendous explosions on the surface of the Sun. In a matter of just a few minutes they heat the material to many millions of degrees and release as much energy as a billion megatons of TNT. ;; A sudden and violent release of matter and energy within a solar activity region in the form of electromagnetic radiation, energetic particles, shock waves, lasting a few minutes to hours. Solar flares accelerate charged particles into interplanetary space. ;; An abrupt release, from a localized region on the Sun, of large amounts ofenergy in ultraviolet light, x-radiation, and occasionally gamma radiation.Flares usually occur in or near complex sunspot regions and may be related tothe rearrangement of the intense magnetic fields there. ;; A sudden and violent release of matter and energy within a solar activityregion in the form of electromagnetic radiation, energetic particles, shockwaves, lasting a few minutes to hours. Solar flares accelerate chargedparticles into interplanetary space. ;; A bright eruption from the Sun's chromosphere in the vicinity of a sunspot. Solar flares are caused by tremendous explosions on the surface of the Sun. In a matter of just a few minutes they heat the material to many millions of degrees and release as much energy as a billion megatons of TNT.","['Solar Flares', 'Solar flares', 'SOLAR FLARES', 'EARTH SCIENCE SERVICES -> ENVIRONMENTAL ADVISORIES -> SPACE WEATHER ADVISORIES -> SOLAR FLARES', 'EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> SOLAR ACTIVITY -> SOLAR FLARES', 'Heliophysics -> Solar physics -> Solar activity -> Solar flares']"
"sediment transport","4","5","AGU Index Terms | GCMD | GEMET | Global Change Master Directory (GCMD)","The movement of loose particulate material by a medium such as wind or water currents. ;; The movement and carrying- away of sediment by natural agents; especially the conveyance of a stream load by suspension, saltation, solution or traction. ;; The movement of loose particulate material by a medium such as wind orwater currents. ;; The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting. ;; The movement of sediment by natural agents (such as flowing water, ice, wind, or gravity) either as solid particles or in solution, from one place to another on the earth's surface.","['Sediment transport', 'SEDIMENT TRANSPORT', 'sediment transport', 'EARTH SCIENCE -> OCEANS -> MARINE SEDIMENTS -> SEDIMENT TRANSPORT', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN PROCESSES -> SEDIMENT TRANSPORT', 'EARTH SCIENCE -> LAND SURFACE -> EROSION/SEDIMENTATION -> SEDIMENT TRANSPORT']"
"magnetic storms","4","2","AGU Index Terms | GCMD | Global Change Master Directory (GCMD) | Unified Astronomy Thesaurus (UAT)","A magnetic storm is a large-scale disturbance of the magnetosphere, often initiated by the arrival of an interplanetary shock originating at the Sun. A magnetic storm is marked by the injection of an appreciable number of ions from the magnetotail into the ring current, a process accompanied by increased auroral displays. The strengthened ring current causes a world-wide drop in the equatorial magnetic field, taking perhaps 12 hours to reach its greatest intensity, followed by a more gradual recovery. ;; A magnetic storm is a large-scale disturbance of the magnetosphere, ofteninitiated by the arrival of an interplanetary shock originating at the Sun. Amagnetic storm is marked by the injection of an appreciable number of ions fromthe magnetotail into the ring current, a process accompanied by increasedauroral displays. The strengthened ring current causes a world-wide drop in theequatorial magnetic field, taking perhaps 12 hours to reach its greatestintensity, followed by a more gradual recovery.","['Magnetic storms', 'MAGNETIC STORMS', 'EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> IONOSPHERE/MAGNETOSPHERE DYNAMICS -> MAGNETIC STORMS', 'Heliophysics -> Solar-planetary interactions -> Planetary magnetospheres -> Magnetic storms']"
"flux","4","2","HELIO Ontology | SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary","The rate of flow of some quantity, often used in reference to the flow of some form of energy. ;; The rate of flow of a physical quantity through a reference surface.","['Flux', 'flux']"
