subject_id,predicate_id,object_id,mapping_justification,confidence,term
GCMD:aa index,skos:exactMatch,Space Weather Glossary:aa index,lexical_identity_same_normalized_term,0.6,aa index
GCMD:aa index,skos:exactMatch,Space Weather Glossary (Second):aa index,lexical_identity_same_normalized_term,0.6,aa index
Space Weather Glossary:aa index,skos:exactMatch,Space Weather Glossary (Second):aa index,lexical_identity_same_normalized_term,0.6,aa index
GCMD:abrasion,skos:exactMatch,SWEET:abrasion,lexical_identity_same_normalized_term,0.6,abrasion
GCMD:absorption,skos:exactMatch,HELIO Ontology:absorption,lexical_identity_same_normalized_term,0.6,absorption
GCMD:absorption,skos:exactMatch,SPASE Dictionary:absorption,lexical_identity_same_normalized_term,0.6,absorption
GCMD:absorption,skos:exactMatch,SWEET:absorption,lexical_identity_same_normalized_term,0.6,absorption
HELIO Ontology:absorption,skos:exactMatch,SPASE Dictionary:absorption,lexical_identity_same_normalized_term,0.6,absorption
HELIO Ontology:absorption,skos:exactMatch,SWEET:absorption,lexical_identity_same_normalized_term,0.6,absorption
SPASE Dictionary:absorption,skos:exactMatch,SWEET:absorption,lexical_identity_same_normalized_term,0.6,absorption
HELIO Ontology:ac electric field,skos:exactMatch,SPASE Dictionary:ac electric field,lexical_identity_same_normalized_term,0.6,ac electric field
HELIO Ontology:ac magnetic field,skos:exactMatch,SPASE Dictionary:ac magnetic field,lexical_identity_same_normalized_term,0.6,ac magnetic field
GCMD:acid deposition,skos:exactMatch,GEMET:acid deposition,lexical_identity_same_normalized_term,0.6,acid deposition
GCMD:acid rain,skos:exactMatch,GEMET:acid rain,lexical_identity_same_normalized_term,0.6,acid rain
GEMET:acoustics,skos:exactMatch,SWEET:acoustics,lexical_identity_same_normalized_term,0.6,acoustics
SPASE Dictionary:active,skos:exactMatch,Space Weather Glossary:active,lexical_identity_same_normalized_term,0.6,active
AGU Index Terms:active layer,skos:exactMatch,GCMD:active layer,lexical_identity_same_normalized_term,0.6,active layer
HELIO Ontology:active region,skos:exactMatch,SPASE Dictionary:active region,lexical_identity_same_normalized_term,0.6,active region
HELIO Ontology:active region,skos:exactMatch,Space Weather Glossary:active region,lexical_identity_same_normalized_term,0.6,active region
HELIO Ontology:active region,skos:exactMatch,Space Weather Glossary (Second):active region,lexical_identity_same_normalized_term,0.6,active region
SPASE Dictionary:active region,skos:exactMatch,Space Weather Glossary:active region,lexical_identity_same_normalized_term,0.6,active region
SPASE Dictionary:active region,skos:exactMatch,Space Weather Glossary (Second):active region,lexical_identity_same_normalized_term,0.6,active region
Space Weather Glossary:active region,skos:exactMatch,Space Weather Glossary (Second):active region,lexical_identity_same_normalized_term,0.6,active region
HELIO Ontology:activity index,skos:exactMatch,SPASE Dictionary:activity index,lexical_identity_same_normalized_term,0.6,activity index
GCMD:advection,skos:exactMatch,GEMET:advection,lexical_identity_same_normalized_term,0.6,advection
GCMD:ae index,skos:exactMatch,Space Weather Glossary:ae index,lexical_identity_same_normalized_term,0.6,ae index
GEMET:aerosol,skos:exactMatch,HELIO Ontology:aerosol,lexical_identity_same_normalized_term,0.6,aerosol
GEMET:aerosol,skos:exactMatch,SPASE Dictionary:aerosol,lexical_identity_same_normalized_term,0.6,aerosol
HELIO Ontology:aerosol,skos:exactMatch,SPASE Dictionary:aerosol,lexical_identity_same_normalized_term,0.6,aerosol
AGU Index Terms:aerosols,skos:exactMatch,GCMD:aerosols,lexical_identity_same_normalized_term,0.6,aerosols
AGU Index Terms:africa,skos:exactMatch,GEMET:africa,lexical_identity_same_normalized_term,0.6,africa
GEMET:age,skos:exactMatch,SWEET:age,lexical_identity_same_normalized_term,0.6,age
GCMD:agricultural engineering,skos:exactMatch,GEMET:agricultural engineering,lexical_identity_same_normalized_term,0.6,agricultural engineering
GCMD:agricultural equipment,skos:exactMatch,GEMET:agricultural equipment,lexical_identity_same_normalized_term,0.6,agricultural equipment
GCMD:agriculture,skos:exactMatch,GEMET:agriculture,lexical_identity_same_normalized_term,0.6,agriculture
GCMD:air quality,skos:exactMatch,GEMET:air quality,lexical_identity_same_normalized_term,0.6,air quality
GCMD:air temperature,skos:exactMatch,GEMET:air temperature,lexical_identity_same_normalized_term,0.6,air temperature
GCMD:airglow,skos:exactMatch,SWEET:airglow,lexical_identity_same_normalized_term,0.6,airglow
HELIO Ontology:akasofu epsilon,skos:exactMatch,SPASE Dictionary:akasofu epsilon,lexical_identity_same_normalized_term,0.6,akasofu epsilon
ESA Space Weather Glossary:alarm,skos:exactMatch,GEMET:alarm,lexical_identity_same_normalized_term,0.6,alarm
AGU Index Terms:albedo,skos:exactMatch,GCMD:albedo,lexical_identity_same_normalized_term,0.6,albedo
AGU Index Terms:albedo,skos:exactMatch,GEMET:albedo,lexical_identity_same_normalized_term,0.6,albedo
AGU Index Terms:albedo,skos:exactMatch,SPASE Dictionary:albedo,lexical_identity_same_normalized_term,0.6,albedo
GCMD:albedo,skos:exactMatch,GEMET:albedo,lexical_identity_same_normalized_term,0.6,albedo
GCMD:albedo,skos:exactMatch,SPASE Dictionary:albedo,lexical_identity_same_normalized_term,0.6,albedo
GEMET:albedo,skos:exactMatch,SPASE Dictionary:albedo,lexical_identity_same_normalized_term,0.6,albedo
HELIO Ontology:alfven mach number,skos:exactMatch,SPASE Dictionary:alfven mach number,lexical_identity_same_normalized_term,0.6,alfven mach number
HELIO Ontology:alfven velocity,skos:exactMatch,SPASE Dictionary:alfven velocity,lexical_identity_same_normalized_term,0.6,alfven velocity
SWEET:alfven wave,skos:exactMatch,Space Weather Glossary:alfven wave,lexical_identity_same_normalized_term,0.6,alfven wave
HELIO Ontology:alpha particle,skos:exactMatch,SPASE Dictionary:alpha particle,lexical_identity_same_normalized_term,0.6,alpha particle
GCMD:altitude,skos:exactMatch,GEMET:altitude,lexical_identity_same_normalized_term,0.6,altitude
GCMD:altitude,skos:exactMatch,HELIO Ontology:altitude,lexical_identity_same_normalized_term,0.6,altitude
