term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs
abrupt/rapid climate change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,abrupt/rapid climate change,
acoustic properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,acoustic properties,
acoustic-gravity waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,acoustic-gravity waves,
active experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,active experiments,
active perturbation experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,active perturbation experiments,
aerosols and particles,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,aerosols and particles,
agent-based models,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,agent-based models,
agricultural systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,agricultural systems,
air/sea constituent fluxes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,air/sea constituent fluxes,
air/sea interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,air/sea interactions,
airglow and aurora,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,airglow and aurora,
alteration and weathering processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,alteration and weathering processes,
analogue modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,analogue modeling,
analytical modeling and laboratory experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,analytical modeling and laboratory experiments,
anoxic and hypoxic environments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,anoxic and hypoxic environments,
anoxic environments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,anoxic environments,
antenna arrays,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,antenna arrays,
antennas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,antennas,
anthropogenic effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,anthropogenic effects,
archaeological geology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,archaeological geology,
archean,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,archean,
archeomagnetism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,archeomagnetism,
arctic and antarctic oceanography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,arctic and antarctic oceanography,
asteroids,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,asteroids,
asteroids: satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,asteroids: satellites,
astrobiology and extraterrestrial materials,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,astrobiology and extraterrestrial materials,
astronomical forcing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,astronomical forcing,
atlantic ocean,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atlantic ocean,
atmosphere monitoring with geodetic techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmosphere monitoring with geodetic techniques,
atmospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheres,
atmospheric,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric,
atmospheric composition and structure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric composition and structure,
atmospheric effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric effects,
atmospheric processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric processes,
atmospheric sciences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric sciences,
atmospheric transport and circulation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric transport and circulation,
aurorae and airglow,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,aurorae and airglow,
"aurorae, airglow, and x-ray emission",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"aurorae, airglow, and x-ray emission",
auroral ionosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,auroral ionosphere,
auroral phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,auroral phenomena,
australia,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,australia,
avalanches,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,avalanches,
back-arc basin processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,back-arc basin processes,
balanced dynamical models,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,balanced dynamical models,
benefit-cost analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,benefit-cost analysis,
benthic boundary layers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,benthic boundary layers,
benthic processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,benthic processes,
"benthic processes, benthos",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"benthic processes, benthos",
bifurcations and attractors,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bifurcations and attractors,
bio-optics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bio-optics,
bioavailability: chemical speciation and complexation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bioavailability: chemical speciation and complexation,
biogenic magnetic minerals,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogenic magnetic minerals,
"biogeochemical cycles, processes, and modeling",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"biogeochemical cycles, processes, and modeling",
biogeochemical kinetics and reaction modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogeochemical kinetics and reaction modeling,
biogeophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogeophysics,
biogeosciences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogeosciences,
biological effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biological effects,
biomineralization,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biomineralization,
biomolecular and chemical tracers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biomolecular and chemical tracers,
bioremediation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bioremediation,
biosignatures and proxies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biosignatures and proxies,
biosphere/atmosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biosphere/atmosphere interactions,
body waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,body waves,
boundary layer processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,boundary layer processes,
calderas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,calderas,
cambrian,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cambrian,
capillary waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,capillary waves,
carbon cycling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,carbon cycling,
carboniferous,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,carboniferous,
cascades,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cascades,
catastrophe and catastrophe theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,catastrophe and catastrophe theory,
celestial mechanics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,celestial mechanics,
cellular automata,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cellular automata,
