term,definition,source
solar physics,,uat
solar system astronomy,,uat
observational astronomy,,uat
solar particle emission,,uat
solar spectral irradiance,,uat
solar evolution,,uat
solar radius,,uat
solar mass,,uat
solar electromagnetic emission,,uat
solar system,,uat
solar abundances,,uat
solar interior,,uat
planetary science,,uat
earth-moon system,,uat
solar atmosphere,,uat
cno anomaly,,uat
solar activity,,uat
lunar science,,uat
solar radiation,,uat
solar oscillations,,uat
solar granulation,,uat
solar motion,,uat
solar surface,,uat
astronomical techniques,,uat
solar faculae,,uat
astronomical instrumentation,,uat
solar rotation,,uat
natural satellite atmospheres,,uat
antapex,,uat
solar prominences,,uat
lunar phase,,uat
kuiper belt,,uat
comet origins,,uat
optical observation,,uat
solar corona,,uat
solar convective zone,,uat
lunar origin,,uat
planetary atmospheres,,uat
planetary climates,,uat
meteoroids,,uat
planetary-disk interactions,,uat
solar core,,uat
surface gravity,,uat
solar atmospheric motions,,uat
solar neighborhood,,uat
lunar theory,,uat
impact phenomena,,uat
interplanetary medium,,uat
natural satellite formation,,uat
asteroid belt,,uat
the sun,,uat
helioseismic pulsations,,uat
lunar evolution,,uat
solar neutrons,,uat
solar-planetary interactions,,uat
supergranulation,,uat
planetary system formation,,uat
solar photosphere,,uat
selenology,,uat
solar differential rotation,,uat
solar meridional circulation,,uat
lunar atmosphere,,uat
solar radiative zone,,uat
limb brightening,,uat
asteroid dynamics,,uat
solar filaments,,uat
telescopes,,uat
solar gamma-ray emission,,uat
solar active regions,,uat
solar coronal mass ejection shocks,,uat
stellar tracking devices,,uat
slow solar wind,,uat
comet dynamics,,uat
solar extreme ultraviolet emission,,uat
solar x-ray emission,,uat
planetary rings,,uat
solar nebulae,,uat
limb darkening,,uat
natural satellites (solar system),,uat
fast solar wind,,uat
planetary structure,,uat
planetary alignment,,uat
observatories,,uat
solar instruments,,uat
solar radio emission,,uat
planetary theory,,uat
dwarf planets,,uat
solar system planets,,uat
natural satellite dynamics,,uat
planetary migration,,uat
solar storm,,uat
small solar system bodies,,uat
mesogranulation,,uat
planetary dynamics,,uat
solar ultraviolet emission,,uat
atmospheric science,,uat
natural satellite surfaces,,uat
solar chromosphere,,uat
apex,,uat
solar coronal heating,,uat
asteroids,,uat
solar coronal seismology,,uat
lunar magnetic fields,,uat
aeronomy,,uat
solar spicules,,uat
solar f corona,,uat
micrometeoroids,,uat
termination shock,,uat
trans-neptunian objects,,uat
lunar geodesy,,uat
lunar gravitational field,,uat
stellar bow shocks,,uat
lunar node regression,,uat
lithosphere,,uat
ansae,,uat
planet formation,,uat
scale height,,uat
atmospheric clouds,,uat
plasmapause,,uat
solar coronal plumes,,uat
interplanetary gas,,uat
interplanetary turbulence,,uat
hydrosphere,,uat
optical telescopes,,uat
asteroid rotation,,uat
neptunian satellites,,uat
atmospheric effects,,uat
solar coronal transients,,uat
radio telescopes,,uat
upper atmosphere,,uat
solar active region filaments,,uat
meteors,,uat
lightning,,uat
solar filament eruptions,,uat
martian satellites,,uat
atmospheric composition,,uat
active solar corona,,uat
van allen radiation belts,,uat
planetary ring divisions,,uat
solar observatories,,uat
planetary polar regions,,uat
ceres,,uat
solar-terrestrial interactions,,uat
heliostats,,uat
solar coronal holes,,uat
solar active region magnetic fields,,uat
solar coronal waves,,uat
planetary interior,,uat
solar active region velocity fields,,uat
jovian satellites,,uat
saturnian satellites,,uat
planetary cores,,uat
active sun,,uat
planetary boundary layers,,uat
interplanetary particle acceleration,,uat
solar coronal radio emission,,uat
uranian satellites,,uat
spokes,,uat
annual equation,,uat
protoplanetary disks,,uat
plutonian satellites,,uat
polar caps,,uat
solar wind termination,,uat
solar system formation,,uat
ellerman bombs,,uat
meteorites,,uat
shepherd satellites,,uat
alfven waves,,uat
quiescent solar prominence,,uat
quiet sun,,uat
interplanetary discontinuities,,uat
aurorae,,uat
comets,,uat
near-earth objects,,uat
tectonics,,uat
volcanoes,,uat
volcanism,,uat
solar coronal mass ejections,,uat
solar granules,,uat
solar e corona,,uat
anomalistic month,,uat
interplanetary grains,,uat
atmospheric variability,,uat
quiet solar corona,,uat
lunar interior,,uat
solar coronal lines,,uat
oblateness,,uat
irregular satellites,,uat
magnetospheric radio emissions,,uat
quiet solar chromosphere,,uat
solar system gas giant planets,,uat
interstellar objects,,uat
lunar surface,,uat
solar transition region,,uat
planetary surfaces,,uat
mantle,,uat
solar coronal loops,,uat
sunspot cycle,,uat
active solar chromosphere,,uat
solar system terrestrial planets,,uat
solar telescopes,,uat
center to limb observations,,uat
plages,,uat
solar k corona,,uat
lunar features,,uat
solar coronal streamers,,uat
earth atmosphere,,uat
solar chromospheric heating,,uat
solar optical telescopes,,uat
hirayama families,,uat
land-atmosphere interactions,,uat
apollo group,,uat
iron meteorites,,uat
earth ionosphere,,uat
resonant kuiper belt objects,,uat
achondrites,,uat
hilda group,,uat
lunar transient phenomena,,uat
surface composition,,uat
asteroid surfaces,,uat
atira group,,uat
chondrites,,uat
micrometeorites,,uat
lunar craters,,uat
solar macrospicules,,uat
solar mottles,,uat
lunar rilles,,uat
lunar composition,,uat
lunar petrology,,uat
mercury (planet),,uat
ocean-atmosphere interactions,,uat
comet tails,,uat
aerolites,,uat
comet halley,,uat
proplyds,,uat
zodiacal cloud,,uat
lunar geochronology,,uat
meteoroid dust clouds,,uat
galilean satellites,,uat
sky brightness,,uat
lunar mineralogy,,uat
meteorite composition,,uat
exosphere,,uat
trojan asteroids,,uat
meteor trails,,uat
planetesimals,,uat
aten group,,uat
solar radio telescopes,,uat
meteor streams,,uat
hungaria group,,uat
comae,,uat
short period comets,,uat
lunar seismology,,uat
main belt asteroids,,uat
detached objects,,uat
surface variability,,uat
tropopause,,uat
ozone layer,,uat
near-sun comets,,uat
classical kuiper belt objects,,uat
humidity,,uat
plutoids,,uat
dirty snowball model,,uat
plate tectonics,,uat
tektites,,uat
mesopause,,uat
surface processes,,uat
lunar maria,,uat
comet nuclei,,uat
fireballs,,uat
amor group,,uat
surface ices,,uat
ataxites,,uat
lunar domes,,uat
lunar rays,,uat
earth's clouds,,uat
centaur group,,uat
lunar impacts,,uat
radioheliographs,,uat
seasonal phenomena,,uat
atmospheric circulation,,uat
earth (planet),,uat
solar fibrils,,uat
long period comets,,uat
lunar highlands,,uat
stratopause,,uat
greenhouse gases,,uat
lunar mountains,,uat
diffuse radiation,,uat
main-belt comets,,uat
meteor showers,,uat
vesta,,uat
comet volatiles ,,uat
f layer,,uat
