"hk_prefLabel","hk_definition","broader","regions","altLabels","is_principal","n_glossary_sources","n_glossary_defs","glossary_sources"
"Space Weather","","","Heliosphere","","False","7","4","AGU Index Terms | ESA Space Weather Glossary | NASA CCMC | SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary (Second) | Unified Astronomy Thesaurus (UAT)"
"Auroral Electrojet","","Current System","Ionosphere","","False","1","0","Unified Astronomy Thesaurus (UAT)"
"Broadband Aurora","","Ionization Feature","","","False","0","0",""
"Burst","","Space Weather","InterplanetarySpace","","False","2","1","Space Weather Glossary | Space Weather Glossary (Second)"
"Coronal Mass Ejection","","Burst","Chromosphere | Corona | Photosphere","","False","9","8","ESA Space Weather Glossary | GCMD | Global Change Master Directory (GCMD) | HELIO Ontology | NASA Heliophysics Vocabulary | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary"
"Current System","","Space Weather","Ionosphere","","False","0","0",""
"Ionization Feature","","Ionization Feature","","","False","0","0",""
"Dayside Reconnection","","Space Weather","Dayside","","False","0","0",""
"Diffuse Aurora","","Ionization Feature","","","False","1","1","NASA CCMC"
"Equatorial Electrojet","","Current System","Ionosphere","","False","1","0","Unified Astronomy Thesaurus (UAT)"
"Flare","","Burst","Chromosphere | Corona | Photosphere","","False","4","2","HELIO Ontology | SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary"
"Flux Rope","","Space Weather","InterplanetarySpace","","False","0","0",""
"Foreshock","","Space Weather","Magnetosphere","","False","1","0","Semantic Web for Earth and Environment Technology Ontology"
"Fountain","","Space Weather","Low-latitudeEquatorial","","False","1","1","GEMET"
"Geomagnetic Storm","","Space Weather","GeomagneticField | Ground | Ionosphere | NearPlanetSpace | Thermosphere","","False","9","7","GCMD | Global Change Master Directory (GCMD) | HELIO Ontology | NASA Heliophysics Vocabulary | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary | Space Weather Glossary (Second)"
"Hall Current","","Current System","Ionosphere","","False","0","0",""
"Induced Magnetic Fields","","Surface Interactions","UnmagnetizedBodies","","False","0","0",""
"Interplanetary Magnetic Field","","B-field","","","False","4","2","HELIO Ontology | NASA Heliophysics Vocabulary | Space Weather Glossary | Space Weather Glossary (Second)"
"Ion Drag","ion density *I-N collision frequency (ionospheric velocity - thermospheric winds)","Space Weather","","","False","0","0",""
"Ion-Neutral Collision","","Space Weather","","","False","0","0",""
"Ion Outflow","","Space Weather","","","True","0","0",""
"Ionization","","Space Weather","","","False","3","3","NASA CCMC | Semantic Web for Earth and Environment Technology Ontology | Unified Astronomy Thesaurus (UAT)"
"Ionization Feature","","Space Weather","","","False","0","0",""
"Joule Heating","","Space Weather","","","False","1","0","Space Weather Glossary (Second)"
